rank	concept	char	languages	english
77739	00322488-n	𧕳	2	
77740	00322666-r	𧕵	2	
77741	00323047-a	𧕶	2	
77742	00323436-n	𧕷	2	
77743	00323703-v	𧕸	2	
77744	00324022-r	𧕹	2	
77745	00324195-a	𧕺	2	
77746	00324481-s	𧕼	2	
77747	00324699-n	𧕽	2	
77748	00324841-r	𧕾	2	
77749	00325343-r	𧕿	2	
77750	00325364-n	𧖁	2	
77751	00325912-r	𧖂	2	
77752	00325995-s	𧖄	2	
77753	00326436-a	𧖅	2	
77754	00326608-s	𧖆	2	
77755	00326809-n	𧖇	2	abseil
77756	00327408-r	𧖈	2	
77757	00327601-r	𧖉	2	
77758	00327848-r	𧖊	2	
77759	00328128-a	𧖋	2	
77760	00328679-r	𧖌	2	
77761	00328679-v	𧖍	2	
77762	00328885-n	𧖑	2	
77763	00329034-s	𧖒	2	
77764	00329478-r	𧖓	2	
77765	00330033-r	𧖔	2	
77766	00330396-a	𧖕	2	
77767	00330728-s	𧖖	2	
77768	00331167-s	𧖗	2	
77769	00331594-r	𧖘	2	
77770	00331842-v	𧖙	2	
77771	00331940-r	𧖚	2	
77772	00332714-r	𧖛	2	
77773	00333733-n	𧖜	2	circumduction
77774	00333808-r	𧖝	2	
77775	00333938-r	𧖞	2	
77776	00334050-v	𧖠	2	
77777	00334245-a	𧖢	2	
77778	00334356-n	𧖤	2	dart
77779	00334852-a	𧖧	2	
77780	00335225-a	𧖨	2	
77781	00335768-s	𧖩	2	
77782	00336564-a	𧖪	2	
77783	00337172-s	𧖫	2	
77784	00337568-v	𧖬	2	craze
77785	00338013-s	𧖭	2	
77786	00338292-r	𧖮	2	
77787	00338551-a	𧖯	2	
77788	00338704-r	𧖳	2	
77789	00338736-v	𧖴	2	
77790	00339463-n	𧖵	2	
77791	00339742-s	𧖶	2	
77792	00339907-n	𧖷	2	
77793	00340523-r	𧖸	2	
77794	00340827-s	𧖺	2	
77795	00340933-r	𧖻	2	
77796	00340989-n	𧖼	2	
77797	00341051-r	𧖽	2	
77798	00341422-v	𧖾	2	
77799	00341655-s	𧖿	2	
77800	00341890-n	𧗀	2	
77801	00341933-a	𧗁	2	
77802	00342250-a	𧗂	2	
77803	00342626-a	𧗃	2	
77804	00342902-a	𧗄	2	
77805	00342904-r	𧗆	2	
77806	00343057-r	𧗇	2	
77807	00343226-s	𧗈	2	
77808	00343771-v	𧗉	2	
77809	00343938-r	𧗊	2	
77810	00344042-v	𧗋	2	
77811	00344073-r	𧗌	2	
77812	00344659-r	𧗎	2	
77813	00344699-n	𧗏	2	
77814	00344816-a	𧗐	2	
77815	00344890-a	𧗑	2	
77816	00344933-r	𧗒	2	
77817	00345284-r	𧗔	2	
77818	00345494-s	𧗕	2	
77819	00345694-s	𧗖	2	
77820	00346185-r	𧗗	2	
77821	00346246-a	𧗘	2	
77822	00346302-r	𧗙	2	
77823	00346592-r	𧗚	2	
77824	00347104-v	𧗛	2	
77825	00347276-v	𧗜	2	
77826	00347346-r	𧗝	2	
77827	00347474-r	𧗞	2	
77828	00347490-n	𧗟	2	
77829	00348018-s	𧗣	2	
77830	00348198-a	𧗦	2	
77831	00348422-v	𧗧	2	take up
77832	00348450-r	𧗨	2	
77833	00348592-r	𧗩	2	
77834	00348782-r	𧗪	2	
77835	00348911-r	𧗫	2	
77836	00349148-a	𧗬	2	
77837	00349199-r	𧗭	2	
77838	00349295-a	𧗮	2	
77839	00349416-v	𧗱	2	
77840	00349587-r	𧗲	2	
77841	00349719-r	𧗳	2	
77842	00349894-s	𧗴	2	
77843	00349967-r	𧗵	2	
77844	00350393-r	𧗶	2	
77845	00350878-n	𧗷	2	
77846	00350930-r	𧗸	2	
77847	00351040-r	𧗹	2	
77848	00351226-a	𧗺	2	
77849	00351420-a	𧗻	2	
77850	00351456-r	𧗼	2	
77851	00351679-a	𧗿	2	
77852	00351918-r	𧘂	2	
77853	00351991-a	𧘃	2	
77854	00352536-a	𧘄	2	
77855	00352721-r	𧘅	2	
77856	00352877-a	𧘆	2	
77857	00353001-a	𧘈	2	
77858	00353101-a	𧘉	2	
77859	00353812-a	𧘊	2	
77860	00354030-v	𧘋	2	
77861	00354330-a	𧘍	2	
77862	00354342-n	𧘎	2	
77863	00354425-r	𧘏	2	
77864	00354433-a	𧘐	2	
77865	00354692-a	𧘑	2	denatured
77866	00354781-r	𧘒	2	
77867	00354785-n	𧘓	2	
77868	00354934-s	𧘔	2	
77869	00355453-a	𧘕	2	
77870	00355950-a	𧘗	2	
77871	00356151-r	𧘙	2	
77872	00357376-r	𧘚	2	
77873	00357520-r	𧘜	2	
77874	00357556-s	𧘝	2	
77875	00357983-a	𧘞	2	
77876	00358534-a	𧘟	2	
77877	00358534-s	𧘠	2	
77878	00358686-r	𧘡	2	
77879	00358832-r	𧘢	2	
77880	00359217-r	𧘣	2	
77881	00359405-v	𧘤	2	
77882	00359771-r	𧘥	2	
77883	00359932-r	𧘦	2	
77884	00360218-r	𧘧	2	
77885	00360306-a	𧘨	2	
77886	00360950-s	𧘩	2	
77887	00361125-s	𧘪	2	
77888	00361998-r	𧘫	2	
77889	00362258-n	𧘬	2	
77890	00363031-s	𧘭	2	
77891	00363878-r	𧘮	2	
77892	00364030-r	𧘯	2	
77893	00364053-n	𧘰	2	
77894	00364794-r	𧘱	2	
77895	00364916-r	𧘵	2	
77896	00365110-r	𧘶	2	
77897	00365681-a	𧘷	2	
77898	00365980-r	𧘽	2	
77899	00366135-r	𧘾	2	
77900	00367241-v	𧘿	2	
77901	00367259-r	𧙀	2	
77902	00367568-r	𧙁	2	
77903	00368165-r	𧙂	2	
77904	00368807-r	𧙃	2	
77905	00368847-v	𧙄	2	
77906	00368989-r	𧙅	2	
77907	00369132-r	𧙆	2	
77908	00369442-v	𧙇	2	
77909	00369732-a	𧙈	2	
77910	00370267-s	𧙉	2	
77911	00370763-r	𧙊	2	
77912	00370869-s	𧙋	2	
77913	00371344-r	𧙌	2	
77914	00371541-r	𧙍	2	
77915	00371945-s	𧙎	2	
77916	00372111-s	𧙏	2	
77917	00372174-r	𧙐	2	
77918	00373112-v	𧙑	2	
77919	00373493-s	𧙒	2	
77920	00373531-r	𧙘	2	
77921	00374001-a	𧙛	2	
77922	00374045-r	𧙜	2	
77923	00374123-r	𧙝	2	
77924	00374277-r	𧙞	2	
77925	00374375-v	𧙟	2	
77926	00374477-a	𧙠	2	
77927	00374677-n	𧙡	2	
77928	00374944-a	𧙢	2	
77929	00375356-r	𧙣	2	
77930	00375471-a	𧙤	2	
77931	00375690-v	𧙥	2	
77932	00375927-r	𧙧	2	
77933	00376428-r	𧙨	2	
77934	00376625-v	𧙩	2	
77935	00376645-a	𧙪	2	
77936	00376821-a	𧙫	2	
77937	00377097-r	𧙭	2	
77938	00377334-r	𧙮	2	
77939	00377522-r	𧙯	2	
77940	00377702-s	𧙴	2	
77941	00378498-a	𧙵	2	
77942	00378591-a	𧙶	2	
77943	00378665-r	𧙷	2	
77944	00378687-a	𧙸	2	
77945	00378782-s	𧙹	2	
77946	00378804-r	𧙺	2	
77947	00378888-r	𧙾	2	
77948	00378892-s	𧚀	2	
77949	00379233-r	𧚁	2	
77950	00379267-a	𧚂	2	peachy
77951	00379413-a	𧚃	2	
77952	00379495-a	𧚄	2	
77953	00379804-s	𧚅	2	
77954	00379816-r	𧚆	2	
77955	00380104-r	𧚇	2	
77956	00380235-r	𧚈	2	
77957	00380833-r	𧚉	2	
77958	00381326-n	𧚊	2	
77959	00381331-v	𧚋	2	
77960	00381525-a	𧚌	2	
77961	00381942-r	𧚍	2	
77962	00382173-s	𧚎	2	
77963	00382739-n	𧚏	2	
77964	00382903-r	𧚐	2	
77965	00383189-a	𧚑	2	
77966	00383281-n	𧚓	2	
77967	00383291-s	𧚕	2	
77968	00383428-r	𧚛	2	
77969	00383563-r	𧚜	2	
77970	00383972-r	𧚝	2	
77971	00384101-r	𧚡	2	
77972	00384207-r	𧚤	2	
77973	00384533-a	𧚥	2	
77974	00384538-r	𧚦	2	
77975	00385104-n	𧚧	2	
77976	00385216-r	𧚨	2	
77977	00385689-r	𧚩	2	
77978	00385822-r	𧚪	2	
77979	00386164-n	𧚫	2	
77980	00386252-v	𧚬	2	Islamize
77981	00387392-s	𧚭	2	
77982	00387525-r	𧚮	2	
77983	00387680-v	𧚯	2	
77984	00388032-a	𧚰	2	
77985	00388152-a	𧚱	2	
77986	00388571-a	𧚲	2	
77987	00389135-n	𧚳	2	
77988	00389183-r	𧚴	2	
77989	00389299-r	𧚵	2	
77990	00389310-s	𧚷	2	
77991	00389508-n	𧚸	2	
77992	00389763-n	𧚹	2	
77993	00389953-n	𧚺	2	
77994	00389958-r	𧛁	2	
77995	00390071-a	𧛂	2	
77996	00390290-r	𧛃	2	
77997	00390332-a	𧛄	2	
77998	00390421-r	𧛏	2	
77999	00390539-s	𧛐	2	
78000	00390725-a	𧛑	2	
78001	00390741-v	𧛒	2	
78002	00391308-r	𧛓	2	
78003	00391476-r	𧛔	2	
78004	00391699-a	𧛕	2	
78005	00391803-r	𧛖	2	
78006	00391897-r	𧛗	2	
78007	00392093-s	𧛘	2	
78008	00392142-v	𧛙	2	
78009	00392174-r	𧛚	2	
78010	00392361-r	𧛛	2	
78011	00392432-r	𧛜	2	
78012	00392706-a	𧛝	2	
78013	00392758-v	𧛞	2	
78014	00393227-v	𧛟	2	
78015	00393422-a	𧛠	2	
78016	00393538-r	𧛡	2	
78017	00393683-s	𧛢	2	
78018	00394563-v	𧛣	2	
78019	00395119-r	𧛤	2	
78020	00395916-r	𧛥	2	
78021	00396213-n	𧛦	2	
78022	00396825-n	𧛧	2	
78023	00396958-a	𧛨	2	
78024	00397191-a	𧛩	2	
78025	00397197-r	𧛪	2	
78026	00398138-v	𧛫	2	
78027	00398204-r	𧛬	2	
78028	00398581-a	𧛲	2	liver
78029	00398644-r	𧛳	2	
78030	00398978-s	𧛸	2	
78031	00399702-r	𧛹	2	
78032	00399715-a	𧛺	2	
78033	00400722-r	𧛻	2	
78034	00400741-v	𧛼	2	
78035	00400876-r	𧛽	2	
78036	00401314-n	𧛾	2	
78037	00401345-r	𧛿	2	
78038	00401373-v	𧜀	2	
78039	00401893-r	𧜁	2	
78040	00401906-v	𧜂	2	
78041	00402004-a	𧜃	2	
78042	00402030-r	𧜄	2	
78043	00402159-a	𧜅	2	
78044	00402855-s	𧜆	2	
78045	00403334-n	𧜇	2	
78046	00403654-a	𧜈	2	
78047	00404110-a	𧜉	2	
78048	00405106-n	𧜊	2	
78049	00405389-r	𧜋	2	
78050	00405879-s	𧜍	2	
78051	00405892-n	𧜎	2	
78052	00406114-n	𧜓	2	
78053	00406288-r	𧜔	2	
78054	00406365-n	𧜕	2	
78055	00406470-r	𧜗	2	
78056	00406485-n	𧜚	2	
78057	00406868-r	𧜝	2	
78058	00407419-r	𧜞	2	
78059	00407547-r	𧜟	2	
78060	00407654-a	𧜠	2	
78061	00407679-r	𧜡	2	
78062	00407766-a	𧜢	2	
78063	00408021-r	𧜣	2	
78064	00408272-v	𧜤	2	
78065	00408445-s	𧜥	2	
78066	00408865-r	𧜦	2	
78067	00409009-r	𧜧	2	
78068	00409327-r	𧜩	2	
78069	00410055-v	𧜭	2	
78070	00410078-a	𧜮	2	
78071	00410244-v	𧜯	2	
78072	00410620-r	𧜰	2	
78073	00410649-v	𧜱	2	
78074	00410817-v	𧜲	2	
78075	00412171-s	𧜷	2	
78076	00412321-r	𧜸	2	
78077	00412511-v	𧜽	2	
78078	00412567-a	𧝂	2	
78079	00412572-n	𧝃	2	
78080	00412788-s	𧝄	2	
78081	00413312-a	𧝅	2	
78082	00413387-r	𧝆	2	
78083	00413674-n	𧝇	2	
78084	00413725-r	𧝈	2	
78085	00413795-n	𧝉	2	
78086	00413861-s	𧝊	2	
78087	00414031-r	𧝋	2	
78088	00414227-a	𧝌	2	
78089	00414354-s	𧝍	2	
78090	00414518-s	𧝎	2	
78091	00414599-n	𧝏	2	
78092	00414919-s	𧝐	2	
78093	00415200-r	𧝑	2	
78094	00415633-r	𧝒	2	
78095	00415782-r	𧝓	2	
78096	00415988-n	𧝔	2	
78097	00416191-r	𧝕	2	
78098	00416297-r	𧝖	2	
78099	00416415-a	𧝗	2	
78100	00416646-n	𧝘	2	
78101	00416763-r	𧝙	2	
78102	00416855-r	𧝚	2	
78103	00417204-s	𧝛	2	
78104	00417376-r	𧝜	2	
78105	00417884-r	𧝝	2	
78106	00417898-a	𧝤	2	
78107	00417947-r	𧝪	2	
78108	00418223-r	𧝫	2	
78109	00418364-s	𧝬	2	
78110	00418541-r	𧝭	2	
78111	00419058-a	𧝮	2	
78112	00419690-r	𧝯	2	
78113	00419795-r	𧝱	2	
78114	00420260-r	𧝲	2	
78115	00420336-n	𧝳	2	
78116	00420716-v	𧝴	2	
78117	00421324-r	𧝵	2	
78118	00421513-s	𧝶	2	
78119	00421590-s	𧝷	2	
78120	00421838-r	𧝸	2	
78121	00421875-s	𧝹	2	
78122	00422168-s	𧝺	2	
78123	00422735-r	𧝻	2	
78124	00422870-a	𧝼	2	
78125	00422944-r	𧝽	2	
78126	00423098-r	𧝾	2	
78127	00423749-r	𧝿	2	
78128	00423888-r	𧞀	2	
78129	00424034-n	𧞁	2	
78130	00424459-r	𧞂	2	
78131	00424587-r	𧞌	2	
78132	00424724-r	𧞍	2	
78133	00425313-s	𧞎	2	
78134	00425330-r	𧞏	2	
78135	00425453-r	𧞐	2	
78136	00425588-a	𧞑	2	
78137	00425615-n	𧞒	2	
78138	00425762-r	𧞓	2	pleasingly
78139	00426140-r	𧞔	2	
78140	00426278-r	𧞕	2	
78141	00427243-r	𧞖	2	
78142	00427255-a	𧞗	2	
78143	00427473-r	𧞙	2	
78144	00427558-v	𧞛	2	
78145	00428173-r	𧞜	2	
78146	00428875-r	𧞝	2	
78147	00430261-r	𧞞	2	
78148	00430520-r	𧞟	2	
78149	00430545-a	𧞢	2	
78150	00431004-s	𧞣	2	
78151	00431292-n	𧞦	2	
78152	00432054-r	𧞧	2	
78153	00432251-a	𧞨	2	
78154	00432453-s	𧞩	2	
78155	00432629-r	𧞪	2	
78156	00432751-r	𧞫	2	
78157	00432998-a	𧞬	2	
78158	00433120-r	𧞭	2	
78159	00433363-r	𧞮	2	
78160	00433909-r	𧞯	2	
78161	00434063-r	𧞰	2	
78162	00434097-a	𧞱	2	
78163	00434213-r	𧞲	2	
78164	00434231-n	𧞶	2	
78165	00434504-r	𧞷	2	
78166	00434687-r	𧞸	2	
78167	00434764-r	𧞹	2	
78168	00434844-n	𧞺	2	
78169	00435374-a	𧞻	2	
78170	00435563-n	𧞼	2	
78171	00436088-r	𧞽	2	
78172	00436282-r	𧟂	2	
78173	00436304-v	𧟃	2	
78174	00436339-n	𧟄	2	
78175	00436385-a	𧟈	2	
78176	00436409-r	𧟉	2	
78177	00436531-r	𧟊	2	
78178	00436544-a	𧟍	2	
78179	00437102-r	𧟎	2	
78180	00437149-a	𧟏	2	
78181	00437539-a	𧟐	2	
78182	00437852-a	𧟑	2	
78183	00437976-r	𧟒	2	
78184	00438063-a	𧟔	2	
78185	00438846-r	𧟕	2	
78186	00438909-s	𧟖	2	
78187	00438954-v	𧟗	2	
78188	00439199-v	𧟘	2	
78189	00439284-n	𧟙	2	
78190	00439431-a	𧟛	2	
78191	00439472-r	𧟜	2	
78192	00439749-n	𧟞	2	
78193	00439847-r	𧟟	2	
78194	00440121-r	𧟠	2	
78195	00440250-r	𧟣	2	
78196	00440292-s	𧟤	2	
78197	00440489-a	𧟥	2	
78198	00440489-s	𧟧	2	
78199	00440579-s	𧟨	2	
78200	00440612-r	𧟩	2	
78201	00440643-n	𧟪	2	
78202	00441043-r	𧟬	2	
78203	00441272-a	𧟯	2	
78204	00441436-r	𧟱	2	
78205	00441740-r	𧟲	2	
78206	00442255-a	𧟳	2	
78207	00442540-r	𧟴	2	
78208	00443248-r	𧟹	2	
78209	00443274-a	𧟼	2	
78210	00443490-a	𧟽	2	
78211	00443618-a	𧟿	2	
78212	00444220-a	𧠂	2	
78213	00444484-r	𧠃	2	
78214	00444832-r	𧠄	2	
78215	00444984-s	𧠆	2	
78216	00445169-s	𧠇	2	
78217	00445187-r	𧠈	2	
78218	00445440-a	𧠉	2	
78219	00446291-r	𧠊	2	
78220	00446311-n	𧠋	2	
78221	00446437-r	𧠍	2	
78222	00446695-v	𧠎	2	
78223	00447045-r	𧠏	2	
78224	00447221-n	𧠑	2	
78225	00447463-n	𧠒	2	
78226	00447472-s	𧠓	2	
78227	00447950-v	𧠘	2	
78228	00448110-v	𧠙	2	
78229	00448777-a	𧠚	2	close-hauled
78230	00449016-r	𧠛	2	
78231	00449332-s	𧠜	2	
78232	00449525-a	𧠝	2	
78233	00449769-a	𧠞	2	juxtaposed
78234	00449925-r	𧠟	2	
78235	00449977-n	𧠠	2	
78236	00450303-v	𧠡	2	
78237	00450402-a	𧠢	2	walking
78238	00450691-v	𧠣	2	
78239	00451024-r	𧠥	2	
78240	00451438-r	𧠦	2	
78241	00451806-r	𧠨	2	
78242	00452126-r	𧠩	2	
78243	00452152-n	𧠪	2	
78244	00452708-r	𧠫	2	
78245	00452734-n	𧠬	2	
78246	00452773-a	𧠭	2	
78247	00453053-s	𧠮	2	
78248	00453189-r	𧠴	2	
78249	00453308-s	𧠵	2	
78250	00454031-r	𧠶	2	
78251	00454651-v	𧠸	2	
78252	00454752-r	𧠻	2	
78253	00455348-n	𧠼	2	
78254	00456103-r	𧠽	2	
78255	00456465-n	𧠾	2	
78256	00457355-a	𧠿	2	
78257	00457884-r	𧡅	2	
78258	00458141-r	𧡇	2	
78259	00458641-n	𧡈	2	
78260	00459330-s	𧡉	2	
78261	00459553-s	𧡋	2	
78262	00459764-r	𧡌	2	
78263	00459845-n	𧡍	2	
78264	00459881-a	𧡎	2	
78265	00460157-a	𧡏	2	
78266	00460344-n	𧡐	2	
78267	00460604-r	𧡑	2	
78268	00460759-v	𧡒	2	
78269	00460951-n	𧡓	2	doubleheader
78270	00461045-r	𧡙	2	
78271	00461294-n	𧡚	2	
78272	00461609-s	𧡛	2	
78273	00462116-n	𧡜	2	
78274	00462203-r	𧡝	2	
78275	00462301-r	𧡞	2	
78276	00462546-a	𧡟	2	
78277	00463080-r	𧡠	2	
78278	00463116-n	𧡡	2	
78279	00463399-s	𧡢	2	
78280	00463655-r	𧡣	2	
78281	00463876-r	𧡤	2	
78282	00464044-r	𧡥	2	
78283	00464399-a	𧡦	2	
78284	00464620-r	𧡨	2	
78285	00465291-v	𧡩	2	
78286	00466273-n	𧡪	2	
78287	00466377-n	𧡫	2	
78288	00466457-r	𧡬	2	
78289	00466652-r	𧡭	2	
78290	00466725-a	𧡮	2	
78291	00466730-r	𧡯	2	
78292	00467016-r	𧡴	2	
78293	00467496-r	𧡵	2	
78294	00467536-n	𧡶	2	
78295	00467596-r	𧡷	2	
78296	00468219-r	𧡸	2	
78297	00468791-v	𧡹	2	
78298	00469613-r	𧡺	2	
78299	00469726-r	𧡻	2	
78300	00469767-a	𧡼	2	
78301	00470050-r	𧡽	2	
78302	00470870-r	𧡾	2	
78303	00471178-a	𧡿	2	
78304	00471348-a	𧢂	2	
78305	00472534-a	𧢃	2	combinatorial
78306	00472668-r	𧢄	2	
78307	00472694-a	𧢅	2	
78308	00473243-s	𧢆	2	
78309	00473698-r	𧢋	2	
78310	00473835-r	𧢌	2	
78311	00474311-a	𧢍	2	
78312	00474385-r	𧢎	2	
78313	00474487-r	𧢏	2	
78314	00474541-a	𧢐	2	
78315	00474656-r	𧢒	2	
78316	00474769-n	𧢓	2	
78317	00474881-n	𧢔	2	
78318	00474883-a	𧢖	2	
78319	00475014-n	𧢚	2	
78320	00475308-s	𧢛	2	
78321	00475625-a	𧢜	2	
78322	00476402-r	𧢞	2	
78323	00476663-s	𧢢	2	
78324	00477194-r	𧢣	2	
78325	00477284-s	𧢥	2	
78326	00477359-r	𧢦	2	
78327	00477528-v	𧢧	2	block
78328	00477636-r	𧢨	2	
78329	00477661-s	𧢩	2	
78330	00478821-r	𧢪	2	
78331	00478872-a	𧢫	2	
78332	00479616-n	𧢬	2	
78333	00479693-r	𧢭	2	
78334	00479734-n	𧢮	2	
78335	00479850-r	𧢰	2	touchily
78336	00480195-r	𧢱	2	
78337	00480221-v	𧢳	2	
78338	00480569-v	𧢴	2	
78339	00480584-r	𧢵	2	
78340	00480751-r	𧢶	2	
78341	00481300-r	𧢷	2	
78342	00481463-a	𧢸	2	conterminous
78343	00481592-s	𧢹	2	
78344	00481666-n	𧢻	2	
78345	00481933-r	𧢼	2	
78346	00482673-s	𧢽	2	
78347	00482749-v	𧢾	2	
78348	00483042-r	𧢿	2	
78349	00483466-v	𧣀	2	
78350	00483605-n	𧣁	2	
78351	00483647-r	𧣃	2	
78352	00483656-v	𧣄	2	
78353	00483850-r	𧣉	2	
78354	00484193-r	𧣊	2	
78355	00484462-r	𧣋	2	
78356	00485274-v	𧣌	2	
78357	00485431-a	𧣍	2	
78358	00485620-r	𧣎	2	
78359	00485765-r	𧣏	2	
78360	00485815-n	𧣐	2	
78361	00486358-n	𧣑	2	marbles
78362	00486917-r	𧣒	2	
78363	00486990-s	𧣓	2	
78364	00487018-r	𧣔	2	
78365	00487198-s	𧣕	2	
78366	00487326-n	𧣖	2	
78367	00488287-r	𧣗	2	
78368	00488857-s	𧣘	2	
78369	00488998-s	𧣙	2	
78370	00489425-r	𧣚	2	
78371	00489730-n	𧣛	2	all fours
78372	00489863-a	𧣜	2	
78373	00489972-r	𧣟	2	
78374	00490226-r	𧣡	2	
78375	00490579-r	𧣢	2	
78376	00490876-r	𧣣	2	
78377	00490979-a	𧣤	2	
78378	00491320-s	𧣦	2	
78379	00491511-s	𧣨	2	
78380	00491705-r	𧣩	2	
78381	00493012-s	𧣪	2	
78382	00493308-n	𧣫	2	
78383	00493608-r	𧣬	2	
78384	00494053-r	𧣭	2	
78385	00494336-r	𧣯	2	
78386	00494409-s	𧣰	2	
78387	00494455-r	𧣱	2	
78388	00494522-r	𧣴	2	
78389	00494624-r	𧣵	2	
78390	00494880-v	𧣶	2	
78391	00495446-r	𧣷	2	
78392	00495636-v	𧣸	2	
78393	00495743-r	𧣹	2	
78394	00496259-a	𧣺	2	
78395	00496264-r	𧣻	2	
78396	00496555-r	𧣼	2	
78397	00496760-n	𧣽	2	
78398	00496845-a	𧣾	2	
78399	00497219-v	𧤀	2	
78400	00497535-a	𧤃	2	
78401	00497778-r	𧤄	2	
78402	00497964-a	𧤅	2	
78403	00498163-v	𧤆	2	
78404	00498558-n	𧤇	2	
78405	00499162-v	𧤈	2	
78406	00499304-v	𧤉	2	
78407	00500226-r	𧤋	2	
78408	00500355-r	𧤌	2	
78409	00500658-r	𧤍	2	
78410	00500889-a	𧤎	2	
78411	00500927-n	𧤏	2	
78412	00501063-r	𧤐	2	
78413	00501534-v	𧤑	2	
78414	00501718-v	𧤒	2	
78415	00502030-n	𧤓	2	
78416	00502478-v	𧤔	2	
78417	00502987-r	𧤕	2	
78418	00503020-a	𧤖	2	serried
78419	00503058-v	𧤗	2	
78420	00503370-r	𧤘	2	
78421	00503569-v	𧤙	2	
78422	00503669-r	𧤚	2	
78423	00503715-v	𧤛	2	
78424	00503780-a	𧤜	2	
78425	00504464-v	𧤝	2	federalize
78426	00504676-v	𧤞	2	
78427	00504718-r	𧤟	2	
78428	00505086-a	𧤠	2	
78429	00505086-s	𧤡	2	
78430	00505285-a	𧤢	2	
78431	00505410-s	𧤣	2	
78432	00505615-n	𧤦	2	
78433	00505744-r	𧤧	2	
78434	00505853-s	𧤨	2	
78435	00505871-n	𧤩	2	
78436	00505979-r	𧤫	2	
78437	00506060-n	𧤬	2	
78438	00506096-r	𧤮	2	
78439	00506216-r	𧤯	2	
78440	00506442-r	𧤰	2	
78441	00506601-s	𧤱	2	
78442	00506672-v	𧤲	2	
78443	00507162-n	𧤴	2	
78444	00507292-s	𧤵	2	
78445	00508255-r	𧤶	2	
78446	00508367-r	𧤺	2	
78447	00508480-a	𧤻	2	
78448	00508547-n	𧤼	2	
78449	00508800-n	𧤽	2	
78450	00508933-v	𧤾	2	
78451	00509100-v	𧤿	2	
78452	00509377-a	𧥀	2	
78453	00509566-n	𧥁	2	
78454	00509857-v	𧥂	2	
78455	00509896-a	𧥄	2	
78456	00510644-s	𧥅	2	
78457	00511029-r	𧥆	2	
78458	00511037-a	𧥈	2	
78459	00511205-r	𧥊	2	
78460	00511318-v	𧥋	2	
78461	00511481-r	𧥌	2	
78462	00511636-v	𧥍	2	
78463	00511739-s	𧥎	2	
78464	00511763-v	𧥑	2	
78465	00512597-r	𧥓	2	
78466	00512874-r	𧥕	2	canonically
78467	00513098-r	𧥖	2	
78468	00513165-a	𧥗	2	
78469	00513716-a	𧥘	2	
78470	00513799-a	𧥙	2	
78471	00513929-r	𧥚	2	in vitro
78472	00514175-s	𧥛	2	
78473	00514396-a	𧥜	2	
78474	00514475-r	𧥝	2	
78475	00514781-r	𧥞	2	
78476	00514889-r	𧥟	2	
78477	00515380-s	𧥡	2	
78478	00515429-r	𧥢	2	
78479	00515791-n	𧥣	2	militainment
78480	00516231-s	𧥤	2	
78481	00516559-n	𧥥	2	
78482	00516887-a	𧥦	2	
78483	00516900-n	𧥨	2	
78484	00517010-a	𧥩	2	
78485	00517418-n	𧥪	2	
78486	00517554-s	𧥫	2	
78487	00518035-a	𧥬	2	
78488	00518303-n	𧥭	2	
78489	00518716-a	𧥮	2	
78490	00519118-n	𧥯	2	
78491	00520194-v	𧥰	2	cut in
78492	00520783-n	𧥱	2	
78493	00520881-v	𧥳	2	
78494	00520892-s	𧥴	2	
78495	00521329-s	𧥵	2	
78496	00521450-n	𧥶	2	
78497	00521976-s	𧥷	2	
78498	00522240-a	𧥸	2	
78499	00522463-s	𧥹	2	
78500	00522885-s	𧥻	2	
78501	00523068-a	𧥼	2	
78502	00523148-n	𧥽	2	
78503	00523587-a	𧥾	2	
78504	00523867-s	𧥿	2	
78505	00523895-v	𧦀	2	
78506	00524388-a	𧦁	2	
78507	00524496-a	𧦅	2	
78508	00524530-v	𧦇	2	
78509	00526062-s	𧦎	2	
78510	00526081-v	𧦏	2	
78511	00527188-s	𧦐	2	
78512	00527367-v	𧦑	2	
78513	00527935-v	𧦒	2	
78514	00528041-a	𧦗	2	
78515	00528059-n	𧦘	2	
78516	00528167-s	𧦙	2	
78517	00528333-a	𧦚	2	spatiotemporal
78518	00528629-s	𧦛	2	
78519	00529191-s	𧦜	2	
78520	00529657-s	𧦝	2	
78521	00530208-n	𧦞	2	
78522	00530755-n	𧦟	2	
78523	00530874-n	𧦡	2	
78524	00531068-v	𧦢	2	
78525	00531087-a	𧦣	2	
78526	00531087-s	𧦤	2	
78527	00531163-v	𧦥	2	
78528	00532441-n	𧦦	2	
78529	00532567-n	𧦧	2	
78530	00532753-a	𧦨	2	
78531	00533221-s	𧦩	2	
78532	00533322-n	𧦪	2	
78533	00533452-s	𧦫	2	
78534	00533691-n	𧦭	2	stomp
78535	00533897-v	𧦮	2	
78536	00534152-n	𧦸	2	
78537	00534344-n	𧦹	2	
78538	00534369-v	𧦺	2	
78539	00535293-s	𧦻	2	
78540	00536120-n	𧦾	2	
78541	00537153-v	𧧁	2	
78542	00537169-a	𧧂	2	umbilicate
78543	00537297-n	𧧃	2	
78544	00537644-a	𧧄	2	bell-shaped
78545	00538571-v	𧧅	2	
78546	00538991-n	𧧆	2	
78547	00539389-a	𧧇	2	
78548	00539674-n	𧧉	2	
78549	00539951-n	𧧊	2	
78550	00540236-a	𧧋	2	
78551	00540366-a	𧧌	2	
78552	00540632-a	𧧍	2	
78553	00540895-n	𧧎	2	
78554	00541479-n	𧧏	2	
